matrix_size,num_blocks,block_size,block_memory,scheduler,wall_time,real_time,max_rss_kb,run_number,timestamp
8192,2,4096,134217728,omp-task,5.307788,8.38,1134136,4,2025-11-11T16:37:57.830024
8192,2,4096,134217728,virtual-fifo,5.532665,8.69,1790172,0,2025-11-11T16:38:17.964142
8192,2,4096,134217728,virtual-fifo,5.535894,8.58,1792424,1,2025-11-11T16:38:30.037704
8192,2,4096,134217728,virtual-fifo,5.57307,8.65,1799800,2,2025-11-11T16:38:42.112621
8192,2,4096,134217728,virtual-fifo,5.575062,8.57,1800380,3,2025-11-11T16:38:52.178021
8192,2,4096,134217728,virtual-fifo,5.556377,8.69,1798360,4,2025-11-11T16:39:04.251695
8192,4,2048,33554432,sequential,2.367947,5.48,1063824,0,2025-11-11T16:39:22.385793
8192,4,2048,33554432,sequential,2.392197,5.4,1064024,1,2025-11-11T16:39:30.443518
8192,4,2048,33554432,sequential,2.368318,5.47,1062264,2,2025-11-11T16:39:38.501124
8192,4,2048,33554432,sequential,2.384575,5.48,1062404,3,2025-11-11T16:39:46.559859
8192,4,2048,33554432,sequential,2.372827,5.35,1062456,4,2025-11-11T16:39:54.618524
8192,4,2048,33554432,omp-task,2.28885,5.36,1173668,0,2025-11-11T16:40:06.720979
8192,4,2048,33554432,omp-task,2.25995,5.35,1192352,1,2025-11-11T16:40:12.772533
8192,4,2048,33554432,omp-task,2.487233,5.55,1174324,2,2025-11-11T16:40:18.825144
8192,4,2048,33554432,omp-task,2.26364,5.35,1179728,3,2025-11-11T16:40:24.876272
8192,4,2048,33554432,omp-task,2.275539,5.39,1175208,4,2025-11-11T16:40:32.934407
8192,4,2048,33554432,virtual-fifo,5.773708,8.86,1915732,0,2025-11-11T16:40:57.087095
8192,4,2048,33554432,virtual-fifo,5.780426,8.9,1935216,1,2025-11-11T16:41:09.162021
8192,4,2048,33554432,virtual-fifo,5.756102,8.8,1923712,2,2025-11-11T16:41:19.232434
8192,4,2048,33554432,virtual-fifo,5.788294,8.82,1921516,3,2025-11-11T16:41:31.308577
8192,4,2048,33554432,virtual-fifo,5.779971,8.87,1929764,4,2025-11-11T16:41:43.383949
8192,8,1024,8388608,sequential,2.441019,5.49,1061708,0,2025-11-11T16:41:59.498649
8192,8,1024,8388608,sequential,2.431624,5.5,1060532,1,2025-11-11T16:42:07.556588
8192,8,1024,8388608,sequential,2.452245,5.52,1059260,2,2025-11-11T16:42:15.616985
